dataset,model,RMSE_mean,RMSE_std,MAE_mean,MASE_mean,MASE_std,sMAPE_mean,MAPE_mean,R2_mean,n
aapl,CeNN_Emulator,0.007655599247664213,0.004515626893842226,0.005942681292071939,0.1975103193783926,0.11722439644652441,52.92405052185059,53.22333755493164,-526635139.2,5
aapl,CeNN_NS,0.0002866699855076149,9.741367335405778e-05,0.00023193008673842995,0.007708403539371747,0.0027286081947473857,2.0646985530853272,2.0771925687789916,-631020.10625,5
aapl,LSTM,0.0012837448564823716,0.0005660528152162474,0.0010458609787747264,0.03476012355210347,0.015197352694278776,9.100629091262817,9.366851139068604,-13385967.45,5
aapl,MLP,0.0003453943878412247,0.00024195539996505025,0.0002950626396341249,0.00980667031033878,0.006638530550916615,2.6121639251708983,2.642615032196045,-1167770.85625,5
aapl,Naive_moving_average,9.313225746154785e-10,0.0,9.313225746154785e-10,3.095333741050694e-08,0.0,8.341028660652228e-06,8.341032298631035e-06,0.9999939203262329,5
aapl,Naive_persistence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
aapl,QELM_Teacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
aapl,Transformer,0.006227151677012444,0.0007697944616019259,0.005000262148678302,0.16618817759564009,0.025328709862558696,50.102962493896484,44.782918548583986,-275907088.0,5
energy,CeNN_Emulator,0.3968509316444397,0.014508151397515665,0.32309818267822266,0.7418947846146993,0.02982494729996689,66.69698181152344,84.9045166015625,0.6748048067092896,5
energy,CeNN_NS,0.0937426969408989,0.000887191128702623,0.07471062242984772,0.17154977684050554,0.0017696609825759244,23.928119659423828,36.447722625732425,0.9818727731704712,5
energy,LSTM,0.09242795705795288,0.00032297432715217017,0.07348526418209075,0.16873612160493628,0.0005662769059531825,23.675365447998047,36.45272979736328,0.9823787808418274,5
energy,MLP,0.0924676463007927,0.0007107531087800583,0.07346499115228652,0.16868957087860467,0.0013002970363806125,23.617549896240234,36.51877365112305,0.982362973690033,5
energy,Naive_moving_average,0.4498246908187866,0.0,0.3751988112926483,0.8615277219583455,0.0,74.56575775146484,183.22314453125,0.5826390981674194,5
energy,Naive_persistence,0.539292573928833,0.0,0.4391530752182007,1.0083788570125238,0.0,81.4066390991211,212.7596893310547,0.40010660886764526,5
energy,QELM_Teacher,0.8668103337287902,0.008281199715206095,0.6863431692123413,1.5759742548650384,0.009596405888269958,126.64842376708984,213.05784301757814,-0.5499049901962281,5
energy,Transformer,0.2840974509716034,0.0009905715239011982,0.23219457268714905,0.5331628332431516,0.0017860339235774225,53.671105194091794,113.89493560791016,0.8335192203521729,5
jena,CeNN_Emulator,0.43283108472824094,0.022258359505986886,0.3480497241020203,0.8063739010899287,0.03876045244430288,69.51002197265625,98.23675689697265,0.6115086197853088,5
jena,CeNN_NS,0.1920608699321747,0.000524124991949664,0.153501296043396,0.3556372275031342,0.001054523244244751,39.71627349853516,79.3652359008789,0.9236679315567017,5
jena,LSTM,0.1917387366294861,0.0002946567781643114,0.1530626654624939,0.35462099267182695,0.000517349507772959,39.54093475341797,79.44637298583984,0.9239240765571595,5
jena,MLP,0.19193028509616852,0.00015543455475948973,0.15342200994491578,0.35545353466815593,0.0002998191132190888,39.605587768554685,79.53068389892579,0.9237720966339111,5
jena,Naive_moving_average,0.42898324131965637,0.0,0.3527677059173584,0.8173046880960705,0.0,71.21229553222656,153.396484375,0.6191909313201904,5
jena,Naive_persistence,0.5266706347465515,0.0,0.4279603064060211,0.9915135622607476,0.0,79.88459014892578,190.95252990722656,0.42600929737091064,5
jena,QELM_Teacher,0.8951975107192993,0.029003606248648242,0.7210400223731994,1.670531005830128,0.05888961347163982,134.7926818847656,203.4278564453125,-0.6596975803375245,5
jena,Transformer,0.31507235765457153,0.00023842564494122776,0.2561506390571594,0.5934588530880578,0.0004023267773694765,57.10909423828125,114.24628448486328,0.7945777535438537,5
mackey_glass,CeNN_Emulator,0.6425621747970581,0.009727715009767223,0.4984422504901886,0.4553432888256195,0.0119398478296007,93.58728332519532,142.91686401367187,0.5886136889457703,5
mackey_glass,CeNN_NS,0.021793456003069877,0.0008900693148219328,0.017114297673106193,0.015634470353885495,0.0006432239601992918,6.678381824493409,8.318564414978027,0.9995262384414673,5
mackey_glass,LSTM,0.016131211072206497,0.0006338525962034252,0.012301400303840637,0.011237731283820067,0.00041743073778617915,5.288061141967773,6.202405548095703,0.999740469455719,5
mackey_glass,MLP,0.01562241856008768,0.0005089066962587983,0.012029090337455273,0.010988967228301168,0.00043100431277106677,5.271056365966797,6.2923173904418945,0.9997566699981689,5
mackey_glass,Naive_moving_average,1.536509394645691,0.0,1.3070743083953857,1.1940551061610745,0.0,162.10025024414062,523.62255859375,-1.3518540859222412,5
mackey_glass,Naive_persistence,1.3861441612243652,0.0,1.091202974319458,0.99684958611409,0.0,135.02113342285156,515.5176391601562,-0.9140653610229492,5
mackey_glass,QELM_Teacher,0.7539963006973267,0.01253516849360368,0.5839152216911316,0.5334256419448821,0.012041436932427372,106.78317260742188,186.91081848144532,0.43353331089019775,5
mackey_glass,Transformer,0.09406295865774154,0.006873641557328108,0.059322205185890195,0.05419277355233587,0.004691031163215863,17.08846321105957,28.798581314086913,0.9911482691764831,5
