dataset,model,pearson_r_mean,pearson_r_std,kl_div_mean,spectral_dist_mean,autocorr_dist_mean,feature_mse_mean,mean_qubit_corr_mean
aapl,CeNN_Emulator,,,5.672058881455105,5.689771787729114e-05,,0.14459628108888864,
aapl,CeNN_NS,,,5.787130344611507,5.689750323654152e-05,,0.14875308312475682,
energy,CeNN_Emulator,0.5543636918067932,0.022415867758462004,1.2133929165856063,1.785443564585876e-05,0.033737674577615964,0.10482498109340668,-0.032107928544282904
energy,CeNN_NS,0.33701834082603455,0.019014396080439692,0.5687003633136912,2.9057799110887572e-05,0.04867356034782163,0.10424189567565918,-0.03726513229310513
jena,CeNN_Emulator,0.3942103385925293,0.12765985719489215,1.1187162868189788,2.2229701426113024e-05,0.011294280393024537,0.10760855674743652,-0.08263161670416594
jena,CeNN_NS,0.22129690870642663,0.11133031063387883,0.6150786715526334,3.055264169233851e-05,0.030417515919880823,0.10735839307308197,-0.09284213967621327
mackey_glass,CeNN_Emulator,0.8632008075714112,0.011774831738055002,0.3580175822561979,4.343909631643328e-06,0.002931436984817023,0.07374138087034225,-0.0490655477438122
mackey_glass,CeNN_NS,0.6635144352912903,0.014048354612412634,0.36059805158873626,1.2315536514506675e-05,0.004906669872272904,0.07699961960315704,-0.06748962243087589
