seed,dataset,model,pearson_r,pearson_pval,kl_div,spectral_dist,autocorr_dist,feature_mse,mean_qubit_corr,qubit_corrs
42,energy,CeNN_NS,0.3463008999824524,0.0,0.6050974011078643,2.8425949494703673e-05,0.027357786594954414,0.06614124774932861,0.012014726176857948,"[0.0331580676138401, 0.7099805474281311, 0.5251379013061523, -0.40060707926750183, -0.4139692485332489, -0.03233405947685242, -0.17686094343662262, -0.2083493024110794, 0.4231376349925995, -0.3391462564468384]"
42,energy,CeNN_Emulator,0.5822166204452515,0.0,1.0813900011968436,1.6411520846304484e-05,0.013494818539107944,0.06991561502218246,-0.043399867787957194,"[-0.04914689064025879, 0.2098001092672348, 0.4657422602176666, -0.3645416796207428, -0.5089485049247742, 0.05245543643832207, -0.09030872583389282, -0.3294195234775543, 0.354433536529541, -0.17406469583511353]"
42,aapl,CeNN_NS,,,18.420678596307877,5.689771569450386e-05,,0.13053473830223083,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
42,aapl,CeNN_Emulator,,,18.420678301160716,5.6897719332482666e-05,,0.12684710323810577,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
42,jena,CeNN_NS,0.29346075654029846,0.0,0.6309060035482799,2.880207830457948e-05,0.018845372376621095,0.06663437932729721,-0.030357368662953375,"[-0.04027487337589264, 0.5647864937782288, 0.5702957510948181, -0.4618932902812958, -0.40818482637405396, -0.06706719100475311, -0.04998548701405525, -0.259564071893692, 0.29697296023368835, -0.44865915179252625]"
42,jena,CeNN_Emulator,0.4864816963672638,0.0,1.0989254751135087,1.929635436681565e-05,0.002420532059917324,0.06709372252225876,-0.057158399000763895,"[-0.03878097981214523, 0.21007376909255981, 0.4931025803089142, -0.36344262957572937, -0.45469120144844055, 0.04976954683661461, -0.04227619618177414, -0.3530314266681671, 0.23439045250415802, -0.30669790506362915]"
42,mackey_glass,CeNN_NS,0.6775778532028198,0.0,0.4750587571953621,1.158017767011188e-05,0.0035475496996987856,0.06863060593605042,0.012785578891634942,"[0.4440084993839264, 0.3746354281902313, 0.2003207802772522, 0.03672033175826073, -0.7092889547348022, -0.15210217237472534, -0.20833350718021393, 0.3772692084312439, 0.4115585386753082, -0.6469323635101318]"
42,mackey_glass,CeNN_Emulator,0.8633115887641907,0.0,0.49214893292507517,3.918984475603793e-06,0.000878276446195498,0.06648372113704681,0.0447975255548954,"[0.4930395483970642, 0.38428783416748047, 0.3791639506816864, 0.06442765146493912, -0.7084932923316956, -0.1847337931394577, -0.16728730499744415, 0.380615234375, 0.43109580874443054, -0.6241403818130493]"
123,energy,CeNN_NS,0.3459869921207428,0.0,0.5588698286306386,2.8102935175411403e-05,0.05711480109981476,0.20418208837509155,-0.2821346014738083,"[-0.31939390301704407, -0.5157982707023621, -0.15554986894130707, 0.1338346153497696, -0.5506240129470825, 0.37493911385536194, -0.5694363713264465, -0.9138622879981995, 0.5927596688270569, -0.8982146978378296]"
123,energy,CeNN_Emulator,0.5702759027481079,0.0,1.3605813023899236,1.7327023670077324e-05,0.034613530151498983,0.2035737782716751,-0.26481240093708036,"[-0.22133973240852356, -0.5387341380119324, -0.18416497111320496, 0.1286216378211975, -0.4483935236930847, 0.3120832145214081, -0.5382505655288696, -0.9201410412788391, 0.6668665409088135, -0.9046714305877686]"
123,aapl,CeNN_NS,,,3.1780706632370985,5.689754107152112e-05,,0.13314034044742584,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
123,aapl,CeNN_Emulator,,,3.178050636334337,5.689770114258863e-05,,0.12744201719760895,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
123,jena,CeNN_NS,0.283313125371933,0.0,0.582846577262486,2.9105407520546578e-05,0.028960500234170627,0.10683617740869522,-0.17922219671308995,"[-0.24141569435596466, -0.7798449993133545, 0.23131480813026428, -0.4585874378681183, -0.4859001338481903, -0.5194939374923706, -0.05753110721707344, 0.5728038549423218, 0.25753292441368103, -0.3111002445220947]"
123,jena,CeNN_Emulator,0.41506558656692505,0.0,1.5214916069576134,2.3786733436281793e-05,0.01763319767760474,0.10089394450187683,-0.14948727935552597,"[0.08377726376056671, -0.6990563273429871, 0.2144845575094223, -0.5020084977149963, -0.3620728850364685, -0.4605550467967987, -0.20611508190631866, 0.4322686493396759, 0.2754381000995636, -0.27103352546691895]"
123,mackey_glass,CeNN_NS,0.6774913668632507,0.0,0.2950647422966204,1.172250722447643e-05,0.007508205979488751,0.10728497803211212,-0.3195697956252843,"[-0.3896808624267578, -0.8628443479537964, -0.13557735085487366, -0.1756758689880371, -0.3992619514465332, -0.43081894516944885, -0.08393876254558563, -0.4890618324279785, 0.006467215251177549, -0.23530524969100952]"
123,mackey_glass,CeNN_Emulator,0.8535363078117371,0.0,0.6457629531428462,5.209084065427305e-06,0.005620896132256567,0.09880739450454712,-0.28162658484652636,"[-0.4315495491027832, -0.8408892154693604, -0.09066274762153625, -0.028258368372917175, -0.10425012558698654, -0.43666401505470276, -0.11396534740924835, -0.5276318192481995, 0.01332139503210783, -0.2557160556316376]"
2024,energy,CeNN_NS,0.3207780718803406,0.0,0.5593420071027068,2.766625038930215e-05,0.03295057874436946,0.06836512684822083,0.0028123252093791963,"[-0.3330693244934082, -0.3046990633010864, -0.2454843819141388, 0.08126258105039597, 0.5174057483673096, 0.1306719332933426, 0.08804310858249664, 0.14149266481399536, 0.35010039806365967, -0.3976004123687744]"
2024,energy,CeNN_Emulator,0.5255560874938965,0.0,1.2958338601679984,1.6885518562048674e-05,0.018111825870003706,0.07018308341503143,-0.011278960667550565,"[-0.4361647963523865, -0.34290841221809387, -0.22245405614376068, 0.07091592997312546, 0.5198712944984436, 0.04368293285369873, -0.014060867950320244, 0.30993106961250305, 0.3537273406982422, -0.3953300416469574]"
2024,aapl,CeNN_NS,,,3.1780509992921537,5.6897493777796626e-05,,0.09643588215112686,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
2024,aapl,CeNN_Emulator,,,1.7917577862443466,5.689771569450386e-05,,0.09341404587030411,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
2024,jena,CeNN_NS,0.21085099875926971,0.0,0.5389689472661353,2.8487422241596505e-05,0.03331914981247053,0.06646964699029922,0.001877526193857193,"[-0.3134489059448242, -0.18272243440151215, -0.3026767075061798, 0.052609242498874664, 0.5230671763420105, 0.027023091912269592, 0.11143805831670761, 0.12418345361948013, 0.34925445914268494, -0.36995217204093933]"
2024,jena,CeNN_Emulator,0.41051316261291504,0.0,1.0416675774794097,1.8477856428944506e-05,0.0101704261380966,0.07150236517190933,0.003980784490704536,"[-0.21018831431865692, -0.06710235029459, -0.26957184076309204, -0.02255408838391304, 0.621616780757904, -0.07296054065227509, -0.10787281394004822, 0.15360425412654877, 0.29539045691490173, -0.2805536985397339]"
2024,mackey_glass,CeNN_NS,0.6554046273231506,0.0,0.33540163938846934,1.240269557456486e-05,0.0016160906233603813,0.06334777176380157,0.07239060327410698,"[-0.4231549799442291, 0.04103659838438034, -0.28911927342414856, -0.13604488968849182, 0.6342553496360779, -0.4334079623222351, -0.25466129183769226, 0.4576120674610138, 0.6726849675178528, 0.45470544695854187]"
2024,mackey_glass,CeNN_Emulator,0.8776198029518127,0.0,0.37319032682664677,4.570043984131189e-06,0.001487517613246267,0.0610034316778183,0.08898700028657913,"[-0.34689921140670776, 0.0898069441318512, -0.32277363538742065, -0.14514203369617462, 0.66574627161026, -0.3826238512992859, -0.2652377486228943, 0.4455094635486603, 0.6897266507148743, 0.4617571532726288]"
7,energy,CeNN_NS,0.31349822878837585,0.0,0.5223533514892271,3.1517905881628394e-05,0.06939514862314805,0.08871441334486008,-0.003876011073589325,"[0.28893133997917175, -0.015430722385644913, -0.20459917187690735, 0.023445505648851395, 0.6162091493606567, 0.10965055972337723, -0.09275082498788834, -0.6464610695838928, -0.6351466774940491, 0.5173918008804321]"
7,energy,CeNN_Emulator,0.5424600839614868,0.0,1.1663047510998865,1.9097629774478264e-05,0.04525192703925862,0.0918610543012619,0.05174416769295931,"[0.2420794516801834, -0.020614532753825188, -0.18733982741832733, 0.19970394670963287, 0.6041020154953003, 0.25454068183898926, -0.25400838255882263, -0.5181763172149658, -0.3598271608352661, 0.5569818019866943]"
7,aapl,CeNN_NS,,,2.079413735583311,5.6897108152043074e-05,,0.01657048799097538,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
7,aapl,CeNN_Emulator,,,3.1780508482976044,5.689772660844028e-05,,0.014297430403530598,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
7,jena,CeNN_NS,0.2874140739440918,0.0,0.5336508973482088,3.0091379812802188e-05,0.034797997632002975,0.0839654728770256,0.04092994444072247,"[0.1683417409658432, 0.05615108087658882, -0.05134395882487297, 0.09304063767194748, 0.6156052947044373, 0.21317824721336365, -0.027335885912179947, -0.6717664003372192, -0.5483167767524719, 0.5617454648017883]"
7,jena,CeNN_Emulator,0.4837639629840851,0.0,1.1166078456484523,2.0431467419257388e-05,0.008743906450199734,0.08702434599399567,0.059554053284227845,"[0.14893944561481476, -0.02634797804057598, -0.09857293218374252, 0.10887433588504791, 0.5693149566650391, 0.28297629952430725, -0.24092251062393188, -0.4950840175151825, -0.24795915186405182, 0.5943220853805542]"
7,mackey_glass,CeNN_NS,0.6616703867912292,0.0,0.33360161821747747,1.2240084288350772e-05,0.010954180248213815,0.07992915064096451,-0.10688447337597609,"[-0.15278831124305725, -0.5215045213699341, 0.016478223726153374, -0.25532835721969604, 0.3289278745651245, -0.3494807779788971, -0.5815557241439819, 0.5601050853729248, -0.07404069602489471, -0.039657529443502426]"
