dataset,comparison,n_pairs,MASE_mean_CeNN_NS,MASE_mean_other,MASE_delta_CeNN_minus_other,MASE_cohen_d_paired,MASE_wilcoxon_p,RMSE_mean_CeNN_NS,RMSE_mean_other,RMSE_delta_CeNN_minus_other,RMSE_cohen_d_paired,RMSE_wilcoxon_p,MAE_mean_CeNN_NS,MAE_mean_other,MAE_delta_CeNN_minus_other,MAE_cohen_d_paired,MAE_wilcoxon_p
Energy,CeNN_NS vs Persistence,5,1.7176193968797673,4.919672323039737,-3.2020529261599693,-107.41992257115055,0.0625,2629.4421361563927,7057.022142274711,-4427.580006118318,-119.04917776842346,0.0625,1865.9775142632382,5344.605416666666,-3478.627902403429,-107.4199225747515,0.0625
Energy,CeNN_NS vs MovingAverage,5,1.7176193968797673,4.460129376171919,-2.7425099792921515,-92.0035416089974,0.0625,2629.4421361563927,6224.312575452405,-3594.8704392960126,-96.659206471889,0.0625,1865.9775142632382,4845.369784342448,-2979.39227007921,-92.00354161208156,0.0625
Energy,CeNN_NS vs MLP,5,1.7176193968797673,1.708653986774554,0.008965410105213146,0.25642339432142813,1.0,2629.4421361563927,2614.9892801219926,14.452856034400066,0.39616080010036164,0.625,1865.9775142632382,1856.2377234266492,9.739790836588508,0.25642339432875727,1.0
Energy,CeNN_NS vs LSTM,5,1.7176193968797673,1.7638503566448758,-0.04623095976510849,-1.3096109331903572,0.0625,2629.4421361563927,2716.318098019799,-86.87596186340616,-2.4477534736097692,0.0625,1865.9775142632382,1916.2016393174913,-50.22412505425355,-1.3096109332274208,0.0625
Energy,CeNN_NS vs Transformer,5,1.7176193968797673,1.8003304038011692,-0.08271100692140183,-2.688176375191873,0.0625,2629.4421361563927,2756.8468737467792,-127.40473759038677,-2.4103629415714756,0.0625,1865.9775142632382,1955.832623828125,-89.85510956488716,-2.6881763752791556,0.0625
Energy,CeNN_NS vs N-HiTS,5,1.7176193968797673,1.7193025285019132,-0.0016831316221461278,-0.043210922811490304,1.0,2629.4421361563927,2636.7054541029243,-7.263317946531697,-0.1612357651418232,0.8125,1865.9775142632382,1867.8060251464842,-1.8285108832465085,-0.04321092281259696,1.0
Energy,CeNN_NS vs N-BEATS,5,1.7176193968797673,1.7376056992365256,-0.019986302356758488,-0.5944778187870269,0.3125,2629.4421361563927,2653.8548733992657,-24.4127372428733,-0.4504356906341787,0.625,1865.9775142632382,1887.6901188476563,-21.712604584418433,-0.5944778188046921,0.3125
Energy,CeNN_NS vs QELM,5,1.7176193968797673,1.7502583273823646,-0.03263893050259736,-0.7456581775111311,0.3125,2629.4421361563927,2827.4447416003286,-198.00260544393586,-2.0312738266208332,0.0625,1865.9775142632382,1901.4356084825304,-35.458094219292526,-0.7456581775281507,0.3125
Energy,CeNN_NS vs CeNN_Emulator,5,1.7176193968797673,1.6965106485373678,0.021108748342399553,0.5637415879991392,0.3125,2629.4421361563927,2611.2968195647322,18.145316591660777,0.33122500347615874,0.625,1865.9775142632382,1843.0455132432726,22.932001019965263,0.5637415880141802,0.3125
AAPL,CeNN_NS vs Persistence,5,0.7978580854758432,1.1311578803118274,-0.3332997948359842,-272.0786280642362,0.0625,0.01842833140741077,0.025598364315850587,-0.007170032908439814,-364.6207092722547,0.0625,0.013251379764371555,0.018787053635652362,-0.005535673871280807,-272.07861491366475,0.0625
AAPL,CeNN_NS vs MovingAverage,5,0.7978580854758432,0.8169564268812131,-0.01909834140536999,-15.590320211365633,0.0625,0.01842833140741077,0.018763142365230138,-0.00033481095781936684,-17.026282929402157,0.0625,0.013251379764371555,0.01356857824796058,-0.00031719848358902487,-15.590319457827547,0.0625
AAPL,CeNN_NS vs MLP,5,0.7978580854758432,0.7937516212936365,0.004106464182206682,3.4421887461363716,0.0625,0.01842833140741077,0.018379164024965606,4.916738244516647e-05,3.2722326289710355,0.0625,0.013251379764371555,0.013183176762662605,6.820300170895174e-05,3.4421885752952868,0.0625
AAPL,CeNN_NS vs LSTM,5,0.7978580854758432,0.7896113822905465,0.008246703185296656,6.390368705389499,0.0625,0.01842833140741077,0.018355184684986488,7.314672242428183e-05,3.565564717750112,0.0625,0.013251379764371555,0.013114412805332414,0.00013696695903914202,6.390368412190635,0.0625
AAPL,CeNN_NS vs Transformer,5,0.7978580854758432,0.7923742400022682,0.005483845473574922,3.0405565124971616,0.0625,0.01842833140741077,0.018400086902564203,2.824450484656682e-05,1.5137413023271526,0.0625,0.013251379764371555,0.013160300260055782,9.107950431577264e-05,3.040556412678462,0.0625
AAPL,CeNN_NS vs N-HiTS,5,0.7978580854758432,0.7924755734763355,0.0053825119995077,3.3405859596734793,0.0625,0.01842833140741077,0.018354019158729994,7.431224868077319e-05,3.2310595042385963,0.0625,0.013251379764371555,0.013161983276587361,8.93964877841956e-05,3.340585836915099,0.0625
AAPL,CeNN_NS vs N-BEATS,5,0.7978580854758432,0.7983201808086601,-0.00046209533281680313,-0.3358183243730467,0.4375,0.01842833140741077,0.018413144594508803,1.5186812901971102e-05,0.651169243455474,0.3125,0.013251379764371555,0.013259054563755016,-7.674799383461036e-06,-0.335818309923057,0.4375
AAPL,CeNN_NS vs QELM,5,0.7978580854758432,1.4770114040629394,-0.6791533185870964,-53.82621066152936,0.0625,0.01842833140741077,0.032940890019674485,-0.014512558612263715,-50.039047757265706,0.0625,0.013251379764371555,0.024531228532794325,-0.011279848768422768,-53.826210408942636,0.0625
AAPL,CeNN_NS vs CeNN_Emulator,5,0.7978580854758432,0.7984485516028532,-0.0005904661270100586,-0.8419501026562766,0.1875,0.01842833140741077,0.018432613581742877,-4.282174332104899e-06,-0.21189588903834713,0.8125,0.013251379764371555,0.013261186634828151,-9.806870456594354e-06,-0.8419500315727999,0.1875
Jena,CeNN_NS vs Persistence,5,4.856549192192652,4.968463082138345,-0.11191388994569333,-0.3026627968153042,0.625,1.1341859030077064,1.3113024089031908,-0.17711650589548453,-3.2166428916231626,0.0625,0.7683367457206878,0.7860422297174422,-0.017705483996754378,-0.30266279681094954,0.625
Jena,CeNN_NS vs MovingAverage,5,4.856549192192652,6.543771488974481,-1.6872222967818296,-4.562967290663646,0.0625,1.1341859030077064,1.6194410334260205,-0.4852551304183139,-8.812800692922512,0.0625,0.7683367457206878,1.0352659659375334,-0.26692922021684556,-4.562967290597987,0.0625
Jena,CeNN_NS vs MLP,5,4.856549192192652,4.678346353152868,0.17820283903978318,0.3922707264949131,0.625,1.1341859030077064,1.1367263628471524,-0.002540459839446152,-0.0401541847269082,1.0,0.7683367457206878,0.740143931438867,0.02819281428182081,0.3922707264903179,0.625
Jena,CeNN_NS vs LSTM,5,4.856549192192652,4.826840200416008,0.029708991776644034,0.1312613265660061,0.625,1.1341859030077064,1.1720591088769887,-0.03787320586928229,-3.554261726592324,0.0625,0.7683367457206878,0.7636365956435498,0.004700150077138088,0.1312613265629195,0.625
Jena,CeNN_NS vs Transformer,5,4.856549192192652,4.417665867877768,0.43888332431488275,0.9365150891533498,0.125,1.1341859030077064,1.0616002522223222,0.07258565078538401,1.1079732751046656,0.0625,0.7683367457206878,0.6989026327712565,0.06943411294943133,0.9365150891427158,0.125
