dataset,model,seed,emul_Pearson_r,emul_Spearman_r,emul_MAE_to_teacher,emul_RMSE_to_teacher,emul_KL_teacher_to_model,emul_JS_distance,emul_spectral_distance,emul_autocorr_distance,observable_MSE,observable_Pearson_r
Energy,CeNN_NS,42,0.9748342037200928,0.9728577153192265,1109.3309326171875,1564.7911376953125,0.05044544739366604,0.04792438908408696,0.210010826587677,0.048823684000758184,0.009064065292477608,0.983536958694458
Energy,CeNN_Emulator,42,0.9802570343017578,0.9785130875488864,939.3866577148438,1378.4334716796875,0.028964606298244867,0.034549004125517084,0.2067120373249054,0.04232628926892039,0.006043175235390663,0.9890323877334595
Energy,CeNN_NS,123,0.9790273904800415,0.9770981210081583,978.8797607421875,1428.2757568359375,0.057619710237764146,0.04291310889439895,0.20607943832874298,0.017010569733905388,0.007301727309823036,0.9868364334106445
Energy,CeNN_Emulator,123,0.9802791476249695,0.9787437560104749,955.118896484375,1391.0819091796875,0.046216763131875116,0.039946872511396905,0.20378875732421875,0.029738641914243382,0.006924928165972233,0.9875208735466003
Energy,CeNN_NS,2024,0.976897656917572,0.9766933315605069,1032.7659912109375,1517.7716064453125,0.05229176342967284,0.04168704578524855,0.20716321468353271,0.07520358279108771,0.007197465747594833,0.9860110282897949
Energy,CeNN_Emulator,2024,0.9799895286560059,0.9790152844670175,966.8856811523438,1427.634765625,0.021508638872305193,0.036635198549859596,0.19660714268684387,0.05271755340124475,0.00607686210423708,0.988197922706604
Energy,CeNN_NS,7,0.9750798940658569,0.9747503561215269,1036.7506103515625,1561.8594970703125,0.05961329214796512,0.04065336648316089,0.18624138832092285,0.11629836833421926,0.007297509349882603,0.9864933490753174
Energy,CeNN_Emulator,7,0.9771655797958374,0.9774978709284763,972.2171020507812,1502.192138671875,0.07337505868866595,0.0475496389685992,0.17391344904899597,0.07575386328247849,0.006490306928753853,0.9880146980285645
Energy,CeNN_NS,99,0.9719817638397217,0.9736430413665796,1073.7908935546875,1676.481201171875,0.054365107814941055,0.04608272381877761,0.18442578613758087,0.10472388324549753,0.007151635363698006,0.9870352745056152
Energy,CeNN_Emulator,99,0.9744940996170044,0.9763580212918326,997.4995727539062,1601.973388671875,0.04547329931781831,0.04116285796774273,0.1679256558418274,0.01897884892915671,0.005302699748426676,0.9904046058654785
AAPL,CeNN_NS,42,0.08520472794771194,0.09272991623407838,0.019498303532600403,0.02730690687894821,14.590575487215808,0.6384339051276229,0.6937436461448669,0.2957829829721669,0.14314331114292145,0.6855522394180298
