epoch,train_loss,val_loss,dataset,model,seed
1,0.1514904766033093,0.05331774548228298,energy,MLP,42
2,0.029761108739132233,0.03415083126830203,energy,MLP,42
3,0.019940957765687595,0.03047438750841788,energy,MLP,42
4,0.01781917249106548,0.03458467199067984,energy,MLP,42
5,0.01672554771754552,0.027627737494185567,energy,MLP,42
6,0.014889218343534705,0.024547097938401357,energy,MLP,42
7,0.013987205654495594,0.024666305032691786,energy,MLP,42
8,0.013159670690639001,0.021807145393852676,energy,MLP,42
9,0.01298301261990811,0.0230757330677339,energy,MLP,42
10,0.012285969410599633,0.021967337500037893,energy,MLP,42
11,0.012558867646889254,0.02681819283004318,energy,MLP,42
12,0.01322668580564134,0.020574225212580392,energy,MLP,42
13,0.012404709059575742,0.020920269856495515,energy,MLP,42
14,0.011380594371902671,0.01906869906399931,energy,MLP,42
15,0.011839999870227819,0.021629119890608957,energy,MLP,42
16,0.011630380392131028,0.02119282223949475,energy,MLP,42
17,0.011037804398008368,0.019210938962974718,energy,MLP,42
18,0.011021640786731785,0.02152407482000334,energy,MLP,42
19,0.011158439761140582,0.02212117605709604,energy,MLP,42
20,0.011844220147891478,0.020520728347556933,energy,MLP,42
21,0.010451349323954095,0.019965778005176356,energy,MLP,42
22,0.011116798169854464,0.018344143305772116,energy,MLP,42
23,0.01033160643242864,0.020932972198352218,energy,MLP,42
24,0.010849329043236194,0.0183129159600607,energy,MLP,42
25,0.010185195676361522,0.02873587854472654,energy,MLP,42
26,0.012097679530129288,0.0192220775477056,energy,MLP,42
27,0.00949641511860219,0.017206284017967328,energy,MLP,42
28,0.009611752046497933,0.01820005995354482,energy,MLP,42
29,0.009120300740257582,0.021707017041210617,energy,MLP,42
30,0.009518694845169332,0.01811038237065077,energy,MLP,42
31,0.009322930155604175,0.018272748549601862,energy,MLP,42
32,0.009312250362144727,0.020121499563434293,energy,MLP,42
33,0.009122961370105093,0.017589637344436988,energy,MLP,42
34,0.008510975389402698,0.017791039044303552,energy,MLP,42
35,0.00914083600439357,0.020060582286013023,energy,MLP,42
1,0.15045299722502628,0.05818114921982799,energy,MLP,43
2,0.0290647342547097,0.03933666892615812,energy,MLP,43
3,0.02079987431396589,0.027400952564286336,energy,MLP,43
4,0.017155833401237473,0.03119317369003381,energy,MLP,43
